s.no,topic,title,url
79,Artificial Intelligence,Natural Language Processing in Action,https://www.manning.com/books/natural-language-processing-in-action?a_aid=hackrio
80,Artificial Intelligence,Elements of AI,https://course.elementsofai.com
81,Artificial Intelligence,Learn the fundamentals of Artificial Intelligence,http://www.awin1.com/cread.php?awinmid=6798&awinaffid=428263&p=https://www.edx.org/course/artificial-intelligence-ai-columbiax-csmm-101x-0
82,Artificial Intelligence,AI Programming with Python,https://udacity.com/course/ai-programming-python-nanodegree--nd089
83,Arduino,The Absolute Beginner's Guide to Arduino,http://forefront.io/a/beginners-guide-to-arduino/
84,Arduino,Arduino Programming: From Novice to Ninja,http://www.awin1.com/cread.php?awinmid=6798&awinaffid=428263&p=https://www.edx.org/course/programming-an-object-with-arduino
85,Arduino,Arduino Lessons,https://www.youtube.com/playlist?list=PLGs0VKk2DiYx6CMdOQR_hmJ2NbB4mZQn-
86,Arduino,An Introduction to Programming the Internet of Things (IoT) Specialization,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/specializations/iot
87,Arduino,Learning Arduino,https://www.youtube.com/playlist?list=PL8CD32146ED5CD04E
88,Apache Spark,Machine Learning with Apache Spark ,https://learn-apache-spark.thinkific.com/collections?category=ml
89,Apache Spark,Into to Apache Spark,https://learn-apache-spark.thinkific.com/courses/intro-to-spark
90,Apache Spark,Apache Spark 2.0 with Scala,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/apache-spark-with-scala-hands-on-with-big-data/
91,Apache Spark,Learn Apache Spark from Scratch for Beginners,https://www.eduonix.com/courses/Software-Development/Learn-Apache-Spark-from-Scratch-for-Beginners
92,Apache Spark,Spark Fundamentals,https://cognitiveclass.ai/courses/what-is-spark
93,Apache Spark,Spark Overview for Scala Analytics,https://cognitiveclass.ai/courses/spark-overview-scala-analytics
94,Arduino,Learning Embedded Systems with Arduino,https://www.iot-workshop.online
95,Arduino,Learn Electronics using Arduino,http://ladyada.net/learn/arduino
96,Arduino,Arduino Tutorials,http://www.electronicwings.com/arduino
97,Arduino,The Arduino Platform and C Programming,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/learn/arduino-platform
98,Arduino,Mastering IoT with Arduino,https://www.packtpub.com/hardware-and-creative/mastering-iot-arduino-video
99,Apache Spark,"Apache Spark: Tips, Tricks, & Techniques",https://www.packtpub.com/application-development/apache-spark-tips-tricks-techniques-video
100,Apache Spark,Apache Spark in Python: Beginner's Guide,https://www.datacamp.com/community/tutorials/apache-spark-python#gs.fMIIqxM
101,Apache Spark,Apache Spark SQL,https://www.experfy.com/training/courses/apache-spark-sql
102,Apache Spark,Spark and Python for Big Data with PySpark,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/spark-and-python-for-big-data-with-pyspark/
